epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,65.0094,0.92843,1.07919,1.15666,0.85905,0.57053,0.68636,0.61066,0.78523,1.02137,1.10147,0.000810363,0.000810363,0.000810363
43,66.5033,0.91111,1.02158,1.12174,0.86691,0.59248,0.6921,0.61081,0.79867,1.06627,1.11466,0.000803031,0.000803031,0.000803031
44,67.9961,0.94079,1.09007,1.18791,0.80504,0.62872,0.67385,0.5986,0.81976,1.08932,1.12897,0.000795698,0.000795698,0.000795698
45,69.4992,0.93763,1.03271,1.1549,0.59091,0.62566,0.61782,0.55759,0.81556,1.07518,1.11958,0.000788366,0.000788366,0.000788366
46,71.0742,0.93749,1.05682,1.16569,0.61447,0.63125,0.6399,0.55658,0.79621,0.97456,1.09255,0.000781033,0.000781033,0.000781033
47,72.5885,0.86048,0.98079,1.10124,0.77165,0.67183,0.72107,0.62456,0.80359,0.95501,1.09397,0.0007737,0.0007737,0.0007737
48,74.0922,0.92229,1.06388,1.16021,0.78396,0.67252,0.71033,0.62255,0.78314,0.98977,1.07868,0.000766368,0.000766368,0.000766368
49,75.5577,0.83402,0.96308,1.08145,0.74507,0.65995,0.64173,0.55518,0.802,1.05922,1.08491,0.000759035,0.000759035,0.000759035
50,77.0364,0.90109,1.0253,1.1249,0.67528,0.68634,0.70418,0.62806,0.80722,1.02385,1.11008,0.000751703,0.000751703,0.000751703
51,78.5461,0.86986,1.01419,1.11291,0.7498,0.64884,0.70775,0.61989,0.79073,0.94856,1.07497,0.00074437,0.00074437,0.00074437
52,80.0504,0.82937,0.97287,1.08874,0.69091,0.66986,0.64318,0.5634,0.79318,0.96817,1.06824,0.000737037,0.000737037,0.000737037
53,81.6891,0.88265,0.97982,1.10995,0.66014,0.6961,0.68443,0.60728,0.76519,1.01077,1.07148,0.000729705,0.000729705,0.000729705
54,83.3253,0.87526,0.9557,1.11233,0.81497,0.63067,0.70286,0.62429,0.75731,0.98921,1.0573,0.000722372,0.000722372,0.000722372
55,84.8763,0.89255,0.96319,1.12137,0.84417,0.62425,0.7279,0.63369,0.76823,0.98756,1.06074,0.00071504,0.00071504,0.00071504
56,86.5006,0.87881,0.99471,1.12429,0.79836,0.66729,0.73413,0.64199,0.77401,0.97893,1.09126,0.000707707,0.000707707,0.000707707
57,88.0707,0.87723,0.96697,1.12422,0.81273,0.66859,0.73068,0.63725,0.7795,0.91583,1.09356,0.000700374,0.000700374,0.000700374
58,89.6274,0.82477,0.92972,1.08481,0.81832,0.64859,0.71032,0.62577,0.72994,0.93033,1.04808,0.000693042,0.000693042,0.000693042
59,91.2385,0.87376,0.96825,1.11422,0.64203,0.69809,0.71024,0.61575,0.72742,0.97911,1.03443,0.000685709,0.000685709,0.000685709
60,92.8434,0.86037,0.9892,1.12359,0.70111,0.70063,0.73988,0.63201,0.78275,0.92403,1.06996,0.000678377,0.000678377,0.000678377
61,94.4097,0.83831,0.97478,1.10767,0.70765,0.72145,0.73501,0.62933,0.74871,0.91983,1.08122,0.000671044,0.000671044,0.000671044
62,95.9883,0.83847,0.94298,1.09173,0.64604,0.74828,0.71698,0.61671,0.74103,0.96365,1.07838,0.000663711,0.000663711,0.000663711
63,97.5334,0.8052,0.90842,1.07914,0.65271,0.75669,0.67853,0.58147,0.73678,0.91091,1.07233,0.000656379,0.000656379,0.000656379
64,99.0437,0.86624,0.96448,1.11372,0.84999,0.67148,0.73173,0.62221,0.74669,0.89727,1.05551,0.000649046,0.000649046,0.000649046
65,100.547,0.79606,0.89529,1.06611,0.81185,0.64434,0.71261,0.62735,0.70445,0.91002,1.02268,0.000641714,0.000641714,0.000641714
66,102.025,0.82623,0.90006,1.09068,0.93036,0.58148,0.71158,0.61841,0.72411,0.93592,1.03822,0.000634381,0.000634381,0.000634381
67,103.558,0.84227,0.93157,1.11265,0.74094,0.64322,0.69439,0.60731,0.76425,0.97439,1.07427,0.000627048,0.000627048,0.000627048
68,105.113,0.8196,0.91954,1.08986,0.76377,0.63448,0.69686,0.61724,0.75413,1.0102,1.05924,0.000619716,0.000619716,0.000619716
69,106.649,0.83033,0.89867,1.0808,0.69807,0.69465,0.64055,0.55489,0.78942,1.05406,1.09164,0.000612383,0.000612383,0.000612383
70,108.188,0.79342,0.86853,1.08114,0.69384,0.69274,0.67671,0.59273,0.74754,0.95844,1.05988,0.000605051,0.000605051,0.000605051
71,109.757,0.8509,0.89367,1.11177,0.62498,0.70932,0.64928,0.56622,0.73015,0.90227,1.04417,0.000597718,0.000597718,0.000597718
72,111.318,0.86559,0.93975,1.12547,0.63132,0.67987,0.61066,0.52733,0.75617,0.91183,1.05315,0.000590385,0.000590385,0.000590385
73,113.309,0.81173,0.90735,1.09874,0.60957,0.70066,0.63462,0.54187,0.73755,0.97083,1.06065,0.000583053,0.000583053,0.000583053
74,115.074,0.85109,0.94762,1.11138,0.65063,0.6961,0.67965,0.58952,0.72697,0.92234,1.04319,0.00057572,0.00057572,0.00057572
75,117.218,0.83973,0.91583,1.12221,0.71565,0.70793,0.71646,0.62434,0.73028,0.88057,1.02194,0.000568388,0.000568388,0.000568388
76,118.96,0.79018,0.85736,1.0685,0.8018,0.68659,0.71551,0.62006,0.75084,0.91095,1.05778,0.000561055,0.000561055,0.000561055
77,120.546,0.8228,0.87724,1.08845,0.74637,0.6865,0.7157,0.61269,0.77515,0.93981,1.09265,0.000553722,0.000553722,0.000553722
78,122.147,0.81846,0.89226,1.08684,0.82758,0.65389,0.723,0.62427,0.78214,0.92955,1.0957,0.00054639,0.00054639,0.00054639
79,123.758,0.77115,0.83436,1.05942,0.66995,0.68463,0.68119,0.58566,0.76281,0.89546,1.06157,0.000539057,0.000539057,0.000539057
80,125.447,0.79184,0.87056,1.0751,0.69709,0.67318,0.68216,0.58857,0.73944,0.90006,1.0431,0.000531725,0.000531725,0.000531725
81,127.176,0.81811,0.88706,1.0918,0.78297,0.56847,0.63814,0.56102,0.76659,0.96639,1.08623,0.000524392,0.000524392,0.000524392
82,128.903,0.79364,0.85653,1.0797,0.57336,0.69422,0.64083,0.56405,0.7366,0.96424,1.07773,0.000517059,0.000517059,0.000517059
83,130.535,0.76559,0.81385,1.05503,0.60397,0.69934,0.65367,0.56784,0.70845,0.93569,1.06034,0.000509727,0.000509727,0.000509727
84,132.141,0.75949,0.80751,1.04333,0.59698,0.70061,0.65029,0.56608,0.73757,0.94405,1.07966,0.000502394,0.000502394,0.000502394
85,133.763,0.75578,0.85231,1.06659,0.70606,0.67336,0.70802,0.6242,0.73465,0.94937,1.07494,0.000495062,0.000495062,0.000495062
86,135.539,0.77205,0.85216,1.06451,0.7221,0.6949,0.72155,0.62983,0.72789,0.93394,1.07136,0.000487729,0.000487729,0.000487729
87,137.223,0.81665,0.87489,1.0871,0.71629,0.62512,0.6501,0.56942,0.71926,0.96513,1.06327,0.000480396,0.000480396,0.000480396
88,138.919,0.7588,0.83606,1.05727,0.65841,0.56075,0.59072,0.50822,0.7106,0.99816,1.05633,0.000473064,0.000473064,0.000473064
89,140.601,0.78782,0.82325,1.05594,0.66595,0.69537,0.64788,0.54705,0.72809,0.95846,1.05303,0.000465731,0.000465731,0.000465731
90,142.222,0.78883,0.82814,1.08836,0.7868,0.66076,0.73461,0.64343,0.71202,0.91562,1.05521,0.000458399,0.000458399,0.000458399
91,143.831,0.78217,0.87252,1.07273,0.74916,0.67654,0.74539,0.63957,0.73243,0.92817,1.08012,0.000451066,0.000451066,0.000451066
92,145.382,0.81239,0.86786,1.08956,0.74731,0.686,0.7497,0.64695,0.71563,0.95167,1.06978,0.000443733,0.000443733,0.000443733
93,147.067,0.76225,0.81096,1.04754,0.792,0.65233,0.75833,0.64675,0.70514,0.93855,1.05584,0.000436401,0.000436401,0.000436401
94,148.716,0.72871,0.77435,1.03231,0.74593,0.67635,0.74185,0.63845,0.68855,0.9185,1.0392,0.000429068,0.000429068,0.000429068
95,150.351,0.72878,0.8015,1.03109,0.70059,0.7203,0.72465,0.62103,0.71603,0.89429,1.05672,0.000421736,0.000421736,0.000421736
96,152.035,0.76918,0.81153,1.05826,0.63138,0.71669,0.66186,0.56098,0.72957,0.92498,1.07322,0.000414403,0.000414403,0.000414403
