epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,222.772,0.9736,0.8027,1.33146,0.07787,0.79648,0.86108,0.84382,0.64753,0.83706,0.76074,1.17768,0.07335,0.000961948,0.000961948,0.000961948
38,229.22,0.95746,0.80097,1.32725,0.08228,0.81202,0.83473,0.84438,0.63239,0.83184,0.76521,1.18592,0.07656,0.000953976,0.000953976,0.000953976
39,235.984,0.94832,0.8064,1.30068,0.07931,0.81189,0.89548,0.84473,0.65952,0.77554,0.72201,1.16255,0.06833,0.000945831,0.000945831,0.000945831
40,242.771,0.95376,0.79563,1.30778,0.0796,0.82104,0.82604,0.85306,0.64344,0.84201,0.78771,1.18446,0.06611,0.000937518,0.000937518,0.000937518
41,249.536,0.91903,0.76785,1.2975,0.07813,0.78884,0.84229,0.84591,0.6525,0.81259,0.76249,1.18616,0.07678,0.00092904,0.00092904,0.00092904
42,256.622,0.92988,0.7785,1.28684,0.07773,0.84184,0.83324,0.85812,0.6663,0.79233,0.7195,1.17213,0.07425,0.0009204,0.0009204,0.0009204
43,263.847,0.92576,0.77317,1.29466,0.07861,0.83446,0.85224,0.85659,0.66024,0.79961,0.71356,1.1731,0.08709,0.000911603,0.000911603,0.000911603
44,270.651,0.92532,0.76404,1.26876,0.07665,0.81795,0.84633,0.86684,0.67013,0.76929,0.72299,1.15854,0.06829,0.000902652,0.000902652,0.000902652
45,277.263,0.92015,0.75711,1.26759,0.07985,0.788,0.87548,0.86245,0.67361,0.78043,0.73952,1.15827,0.06285,0.000893551,0.000893551,0.000893551
46,283.656,0.92437,0.76024,1.28535,0.07674,0.78141,0.86247,0.85778,0.65946,0.80292,0.78,1.16502,0.05755,0.000884305,0.000884305,0.000884305
47,290.18,0.91661,0.74891,1.27583,0.07806,0.82311,0.79102,0.85024,0.64325,0.79867,0.76181,1.17514,0.05873,0.000874916,0.000874916,0.000874916
48,296.597,0.91006,0.74628,1.23339,0.07902,0.83301,0.85949,0.87466,0.67903,0.76149,0.69242,1.15636,0.07812,0.00086539,0.00086539,0.00086539
49,304.123,0.92586,0.75421,1.25954,0.08259,0.80183,0.84675,0.86026,0.67117,0.76376,0.75398,1.15366,0.077,0.00085573,0.00085573,0.00085573
50,310.892,0.9133,0.74708,1.25961,0.07602,0.83156,0.80636,0.8465,0.65927,0.78247,0.76173,1.1664,0.07275,0.000845941,0.000845941,0.000845941
51,317.431,0.90123,0.7445,1.27399,0.07661,0.85084,0.86636,0.8829,0.68526,0.76425,0.68419,1.1581,0.07526,0.000836027,0.000836027,0.000836027
52,323.877,0.89808,0.72908,1.24129,0.07174,0.80097,0.86261,0.86839,0.67171,0.78555,0.72914,1.15084,0.07565,0.000825993,0.000825993,0.000825993
53,331.045,0.90248,0.72348,1.24742,0.07806,0.81572,0.86475,0.86213,0.6732,0.76272,0.71456,1.14123,0.07756,0.000815842,0.000815842,0.000815842
54,338.386,0.92735,0.74059,1.26572,0.07543,0.79933,0.84508,0.84996,0.64984,0.78241,0.75714,1.14965,0.07586,0.00080558,0.00080558,0.00080558
55,345.292,0.90621,0.7371,1.23914,0.07572,0.823,0.86837,0.85833,0.67345,0.77884,0.69695,1.15269,0.07456,0.00079521,0.00079521,0.00079521
56,352.356,0.90933,0.72347,1.24979,0.07451,0.83346,0.84663,0.87356,0.68197,0.7933,0.70601,1.16396,0.07018,0.000784738,0.000784738,0.000784738
57,359.14,0.90539,0.72341,1.25475,0.07507,0.82161,0.82023,0.84771,0.66315,0.78386,0.74869,1.15992,0.07623,0.000774167,0.000774167,0.000774167
58,366.182,0.87558,0.70858,1.20429,0.07061,0.80793,0.8809,0.86923,0.67681,0.76447,0.70209,1.1537,0.06703,0.000763503,0.000763503,0.000763503
59,372.781,0.87071,0.70683,1.21405,0.06868,0.8055,0.8477,0.86233,0.67357,0.7773,0.71236,1.15919,0.06146,0.00075275,0.00075275,0.00075275
60,378.971,0.9057,0.73288,1.24421,0.07332,0.81235,0.86076,0.85575,0.6537,0.78608,0.72762,1.16203,0.07098,0.000741914,0.000741914,0.000741914
61,385.121,0.88122,0.71459,1.22643,0.07192,0.80485,0.82238,0.83389,0.6271,0.79624,0.77766,1.16948,0.07345,0.000730997,0.000730997,0.000730997
62,391.478,0.87986,0.70313,1.21098,0.07267,0.84256,0.85694,0.86983,0.67385,0.77449,0.69876,1.16864,0.07657,0.000720007,0.000720007,0.000720007
63,397.831,0.88415,0.6935,1.21813,0.07532,0.83125,0.82135,0.86431,0.67539,0.75579,0.69898,1.15977,0.0749,0.000708946,0.000708946,0.000708946
64,404.318,0.89729,0.70813,1.23939,0.07569,0.80642,0.85506,0.85992,0.67323,0.76602,0.71658,1.1611,0.07415,0.000697821,0.000697821,0.000697821
65,410.406,0.86981,0.69651,1.21773,0.07186,0.82052,0.81544,0.84683,0.65397,0.78581,0.74164,1.157,0.06845,0.000686635,0.000686635,0.000686635
66,416.469,0.84792,0.6738,1.20604,0.0646,0.81252,0.85091,0.85283,0.65809,0.75813,0.72466,1.14673,0.07381,0.000675395,0.000675395,0.000675395
67,422.88,0.88233,0.71294,1.23488,0.07418,0.78986,0.87307,0.85035,0.64962,0.79646,0.75124,1.16652,0.07198,0.000664104,0.000664104,0.000664104
68,428.947,0.8795,0.70299,1.20959,0.06982,0.81247,0.88007,0.86843,0.66887,0.77261,0.70022,1.15182,0.07459,0.000652769,0.000652769,0.000652769
69,434.984,0.85558,0.66686,1.21595,0.07175,0.81514,0.85831,0.8623,0.67258,0.76337,0.72143,1.15194,0.06705,0.000641393,0.000641393,0.000641393
70,440.841,0.8559,0.68472,1.20766,0.06668,0.81925,0.86284,0.85973,0.66626,0.7724,0.71823,1.15058,0.06603,0.000629981,0.000629981,0.000629981
71,446.658,0.82025,0.65336,1.20016,0.06714,0.85373,0.84171,0.86883,0.68287,0.7663,0.68662,1.15836,0.06968,0.00061854,0.00061854,0.00061854
72,452.732,0.85274,0.68028,1.21373,0.06934,0.8279,0.86014,0.87306,0.68718,0.75764,0.70528,1.15428,0.06173,0.000607073,0.000607073,0.000607073
73,459.171,0.87022,0.701,1.23719,0.07597,0.83327,0.8304,0.87076,0.67957,0.76252,0.70683,1.15641,0.06296,0.000595586,0.000595586,0.000595586
74,465.474,0.85843,0.6942,1.21864,0.07172,0.8272,0.87111,0.87692,0.68612,0.75751,0.67247,1.1609,0.07187,0.000584084,0.000584084,0.000584084
75,472.145,0.86147,0.67427,1.23001,0.0686,0.82296,0.85138,0.86805,0.6829,0.75147,0.6886,1.15322,0.07057,0.000572572,0.000572572,0.000572572
76,478.478,0.85605,0.66608,1.18652,0.06752,0.82813,0.85315,0.87203,0.67036,0.7643,0.69558,1.14188,0.07,0.000561055,0.000561055,0.000561055
77,484.47,0.84122,0.66693,1.20935,0.07078,0.84231,0.86611,0.87808,0.68681,0.73377,0.66502,1.14435,0.07709,0.000549538,0.000549538,0.000549538
78,490.753,0.83193,0.65825,1.18899,0.06717,0.8398,0.82906,0.87126,0.68532,0.74848,0.71133,1.13787,0.06891,0.000538026,0.000538026,0.000538026
79,496.771,0.85624,0.6701,1.21751,0.06657,0.81059,0.83863,0.86261,0.6744,0.76047,0.72169,1.14875,0.07278,0.000526524,0.000526524,0.000526524
80,503.011,0.84412,0.66382,1.20615,0.0674,0.82315,0.85096,0.87197,0.6761,0.76136,0.6982,1.13519,0.06489,0.000515037,0.000515037,0.000515037
